autor,fecha,tweet_id,texto,texto_tokenizado
Galgadot,2021-11-12T02:24:47Z,1458984087935463400,"RED NOTICE is almost here!
I'm so excited for the biggest @netflix project ever, staring 2 totally anonymous unattractive guys with no charisma😜 
I've been waiting to share with the world the many ways I beat them for so long, so here it goes...
@TheRock  @VancityReynolds https://t.co/aIuWpGaQsm",
Galgadot,2021-11-11T21:13:30Z,1458905749636071400,"💫
@GlamourMex https://t.co/ldXbPg0Xrq",
Galgadot,2021-11-10T16:05:07Z,1458465752718188500,"Some people can't take a hint.
 Tell us loud and clear who’s wronged you by tweeting #RedNotice &amp; see your tweet on the Times Square billboard.
 I’ll kick things off: @therock &amp; @VancityReynolds, eating MY fries doesn’t mean they “don’t count.” You’re on #RedNotice, get your own! https://t.co/7lDxWBKrA5",
Galgadot,2021-11-10T04:33:15Z,1458291642272653300,"Had a blast chatting with @JKCorden, just like I always do 😘 
Tune in tonight to do the same 
@latelateshow https://t.co/hTsxxvcphK",
Galgadot,2021-11-09T23:48:49Z,1458220061664047e3,"""I am a very simple complicated person""
Happy birthday to the incredible Hedy Lamarr! 
I'm so fascinated by this moving actress, ground-breaking inventor and overall inspiring woman, and I cannot wait to share with you her story 
🤍 https://t.co/TacBBh46Ln",
Galgadot,2021-11-05T17:34:40Z,1456676351772090400,"Just a couple of cool cats taking a break 😺

#WW84
#KristenWiig https://t.co/b95w8EIUYI",
Galgadot,2021-11-04T04:53:08Z,1456122318405738500,"It's always fun hanging with @jimmykimmel and @TheRock ❤
Watch us tonight on @JimmyKimmelLive
#RedNotice https://t.co/XOPeCOx8tf",
Galgadot,2021-11-03T15:53:22Z,1455926083325464600,🤍 https://t.co/GVS1OQ8rFS,
Galgadot,2021-10-21T22:04:53Z,1451308535829127200,"Join me in celebrating 80 years of Wonder Woman! 💫
I’m excited to announce my exclusive Wonder Woman Collection! 
Check out this link for the details:
https://t.co/LTWP7zrwoe
and I hope you enjoy wearing it as much as I did creating it!
#80YearsofWonderWoman https://t.co/b26lxogkdz",
Galgadot,2021-10-21T15:04:42Z,1451202794229158e3,@Ritu_Arya_ @netflix @TheRock @VancityReynolds @RawsonThurber @NetflixFilm ❤️❤️❤️,
Galgadot,2021-10-21T13:36:57Z,1451180709662507e3,"Number one criminal mastermind in the world? Has a nice ring to it. 
Join @therock, @vancityreynolds and me when #RedNotice is in select theaters Nov 5 and on @Netflix November 12! https://t.co/IwLOIPohFj",
